LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,LPC_13,LPC_14,LPC_15,LPC_16,LPC_17,LPC_18,LPC_19,LPC_20,LPC_21,LPC_22,LPC_23,LPC_24,LPC_25,LPC_26,LPC_27,LPC_28,LPC_29,LPC_30,LPC_31,Label
1.0,-2.289323,3.325164,-5.453931,7.9735103,-10.343702,13.109069,-16.024065,18.72168,-21.100151,23.116964,-24.618734,25.543283,-25.786991,25.388817,-24.504295,23.085804,-21.218746,19.007353,-16.627653,14.176037,-11.651575,9.326444,-7.186079,5.259193,-3.7096,2.4382052,-1.4933307,0.8143334,-0.39986706,0.14010577,blues
1.0,-2.2661102,3.2568018,-5.2497134,7.504653,-9.721379,12.224149,-14.822845,17.381563,-19.537273,21.360075,-22.736103,23.48611,-23.724463,23.282011,-22.271584,20.928175,-19.065994,16.873125,-14.659925,12.291702,-10.020806,7.9279876,-5.9084105,4.2704573,-2.934775,1.8358488,-1.0509801,0.5328985,-0.203771,0.031702235,blues
1.0,-2.3334992,3.460548,-5.5118794,7.914832,-10.357232,12.990838,-15.777132,18.578415,-20.92522,22.880936,-24.43829,25.345308,-25.661268,25.324226,-24.371965,23.034002,-21.143906,18.917824,-16.586956,14.060664,-11.6099415,9.267439,-7.0479155,5.1678257,-3.618235,2.3455093,-1.3934882,0.7311875,-0.31465375,0.087735206,blues
1.0,-2.464567,3.7473066,-5.979035,8.835475,-11.62802,14.734635,-18.156342,21.298922,-24.07459,26.566448,-28.422853,29.54055,-29.947945,29.543634,-28.448334,26.74673,-24.499752,21.88544,-19.01861,16.05892,-13.176701,10.445084,-7.932064,5.740036,-3.9629254,2.5270774,-1.4584308,0.8124833,-0.33210412,0.04479274,blues
1.0,-2.5365336,3.9907477,-6.4014544,9.45387,-12.600008,16.010326,-19.67527,23.145555,-26.146828,28.777056,-30.736814,31.84919,-32.2547,31.860147,-30.634605,28.773844,-26.379807,23.546337,-20.498333,17.357464,-14.20744,11.284649,-8.604694,6.1938267,-4.3307476,2.8218255,-1.6027112,0.8853723,-0.39101708,0.06900065,blues
1.0,-2.483415,3.7926877,-5.974765,8.58654,-11.20397,14.1439295,-17.23946,20.15936,-22.730343,24.934645,-26.474047,27.336634,-27.577343,27.016026,-25.796837,24.010612,-21.772514,19.192942,-16.440174,13.702365,-11.053182,8.62568,-6.4306045,4.536249,-3.0682979,1.909814,-1.0399618,0.54913926,-0.21686517,0.022118045,blues
1.0,-2.9868145,5.285356,-8.155258,11.421839,-14.885452,18.511621,-22.02823,25.30759,-28.125717,30.322355,-31.947565,32.795074,-32.863743,32.283966,-30.995396,29.116892,-26.746803,23.948872,-20.963377,17.910814,-14.827711,11.897936,-9.202374,6.804731,-4.7821097,3.1354277,-1.8678117,0.9880464,-0.4113133,0.09416875,blues
1.0,-3.0473642,5.1809835,-7.6366134,10.579101,-13.745993,17.042849,-20.263956,23.223288,-25.775627,27.837833,-29.38782,30.28089,-30.478743,30.040596,-28.953773,27.323532,-25.267982,22.796711,-20.086842,17.283073,-14.430276,11.710994,-9.205651,6.9368377,-4.990001,3.3560119,-2.0600584,1.1460525,-0.52428037,0.13552703,blues
1.0,-3.0496864,5.428014,-8.32048,11.683739,-15.266386,18.981722,-22.685263,26.176525,-29.200207,31.62126,-33.411953,34.43837,-34.684525,34.171722,-32.89467,31.003448,-28.574188,25.661999,-22.496866,19.235699,-15.944318,12.807299,-9.911007,7.3321114,-5.186967,3.4182105,-2.049123,1.0979891,-0.45332533,0.10163012,blues
1.0,-3.0452266,5.2458777,-7.799648,10.89019,-14.276027,17.780485,-21.246965,24.497583,-27.336287,29.669329,-31.433788,32.494125,-32.829243,32.45725,-31.375896,29.694265,-27.512764,24.85785,-21.91053,18.844585,-15.743084,12.768257,-10.001417,7.494984,-5.3661404,3.6200655,-2.2493138,1.2603037,-0.57153237,0.146772,blues
1.0,-3.039639,5.3700104,-8.160813,11.435592,-14.983073,18.644318,-22.295525,25.832811,-28.952303,31.472542,-33.39232,34.5004,-34.81748,34.421894,-33.223904,31.37608,-28.98425,26.067644,-22.895784,19.63099,-16.32468,13.167121,-10.247896,7.6319733,-5.4446077,3.6591861,-2.2418685,1.2414901,-0.5528388,0.13409396,blues
1.0,-3.052637,5.333228,-7.9993176,11.196999,-14.714797,18.346855,-21.949343,25.382465,-28.391272,30.835436,-32.692703,33.751686,-33.99897,33.559387,-32.383198,30.53207,-28.136229,25.263115,-22.1239,18.884493,-15.623589,12.528273,-9.697001,7.191686,-5.1033945,3.4149296,-2.0869236,1.1370497,-0.4994245,0.1266689,blues
1.0,-3.1245933,5.3769155,-7.878759,10.9513855,-14.311066,17.766615,-21.123096,24.214188,-26.932358,29.119581,-30.707052,31.59395,-31.725698,31.176907,-29.968435,28.202457,-25.999184,23.378275,-20.485104,17.517109,-14.589358,11.76551,-9.136261,6.8152785,-4.841887,3.2349591,-2.001655,1.1023128,-0.4767184,0.11153055,blues
1.0,-3.0229342,5.0652905,-7.3682766,10.293696,-13.483744,16.712315,-19.81184,22.626219,-25.086609,27.000092,-28.266724,28.92725,-28.980583,28.407164,-27.228943,25.488842,-23.318487,20.866957,-18.228716,15.483286,-12.739158,10.148456,-7.792674,5.689484,-3.927507,2.561301,-1.5317867,0.79812646,-0.3340809,0.080190964,blues
1.0,-3.0441122,5.2153444,-7.625029,10.6158905,-13.893131,17.235622,-20.48574,23.430346,-25.995153,28.015896,-29.412043,30.190475,-30.35141,29.84063,-28.67718,26.91706,-24.69027,22.162155,-19.43287,16.610003,-13.788226,11.065309,-8.5518,6.319131,-4.424162,2.9192014,-1.7846948,0.9640974,-0.40060866,0.09134903,blues
1.0,-2.9834857,5.049163,-7.4068027,10.293011,-13.420035,16.632198,-19.68053,22.44905,-24.88356,26.73066,-27.938389,28.562325,-28.597729,28.039871,-26.870102,25.123465,-22.969883,20.546545,-17.950191,15.276258,-12.61009,10.073342,-7.7666163,5.7141714,-3.9986732,2.6547284,-1.628556,0.8890035,-0.38648802,0.09123731,blues
1.0,-2.9418645,4.922092,-7.411169,10.4367695,-13.713977,17.149982,-20.571583,23.763803,-26.56367,28.885128,-30.56914,31.55379,-31.799137,31.315891,-30.154222,28.400627,-26.176043,23.520061,-20.58858,17.568228,-14.534364,11.629793,-8.997827,6.652098,-4.6625032,3.0799217,-1.88007,1.01985,-0.4361195,0.10578616,blues
1.0,-2.9191957,4.7582555,-6.873383,9.464051,-12.297842,15.125353,-17.887363,20.458477,-22.633919,24.390188,-25.626265,26.290884,-26.387533,25.897608,-24.843573,23.35901,-21.520819,19.320032,-16.908978,14.464339,-12.030484,9.695829,-7.577707,5.6738806,-4.054905,2.7273827,-1.6936461,0.95301557,-0.42199007,0.10428038,blues
1.0,-2.9990056,4.9757714,-7.267441,10.134019,-13.294945,16.507193,-19.684988,22.675428,-25.258043,27.366405,-28.901573,29.78758,-30.036922,29.645721,-28.608248,27.042616,-25.043074,22.6288,-19.963125,17.188524,-14.368738,11.626749,-9.104113,6.847233,-4.9317183,3.35315,-2.1036453,1.2020825,-0.5591608,0.14810205,blues
1.0,-2.7105367,4.26837,-6.371356,8.906161,-11.610374,14.484109,-17.302744,19.946924,-22.28377,24.179852,-25.51733,26.30645,-26.50948,26.092623,-25.109758,23.637032,-21.742601,19.501528,-17.06926,14.550078,-12.033044,9.636886,-7.4664397,5.5315866,-3.9029121,2.6138508,-1.6213217,0.9094527,-0.41867414,0.11135628,blues
1.0,-2.7550535,4.4279056,-6.7154055,9.580967,-12.629577,15.857048,-19.125427,22.206345,-24.994688,27.263939,-28.848629,29.810715,-30.12447,29.764227,-28.709126,27.062769,-24.978682,22.48073,-19.68653,16.784842,-13.868962,11.063165,-8.511533,6.247124,-4.3647757,2.8714786,-1.7262378,0.9319809,-0.396829,0.089384645,blues
1.0,-2.6734684,4.3101807,-6.684694,9.522726,-12.608632,15.90616,-19.140448,22.27587,-25.04343,27.264126,-28.971373,29.969828,-30.230225,29.874733,-28.809649,27.144403,-25.016237,22.482075,-19.701374,16.823528,-13.908254,11.132763,-8.59452,6.324275,-4.4508886,2.933566,-1.7769703,0.97330403,-0.44650114,0.12544176,blues
1.0,-2.8429966,4.6004376,-6.810063,9.551266,-12.524874,15.580238,-18.607868,21.48836,-23.975353,25.967733,-27.403374,28.213345,-28.351559,27.859245,-26.770897,25.145063,-23.15327,20.792389,-18.166428,15.475004,-12.781128,10.214447,-7.882659,5.8120456,-4.0752964,2.6849773,-1.6282699,0.8771385,-0.35993272,0.0775662,blues
1.0,-2.7813814,4.4113975,-6.4653196,8.95703,-11.592866,14.316273,-17.047722,19.621876,-21.835047,23.621807,-24.899015,25.632914,-25.809416,25.449263,-24.533247,23.148954,-21.445389,19.362017,-17.06481,14.689971,-12.25068,9.924496,-7.794712,5.861163,-4.2058973,2.8583193,-1.8066154,1.0310128,-0.46757832,0.11848849,blues
1.0,-2.6689653,4.133798,-6.1209226,8.568244,-11.248008,14.076047,-16.821152,19.435417,-21.722189,23.585045,-25.024021,25.85482,-26.047514,25.730045,-24.841099,23.425802,-21.635971,19.50835,-17.160107,14.733034,-12.266604,9.892525,-7.7324476,5.7954717,-4.119851,2.7614841,-1.7291342,0.9707436,-0.45494577,0.12873556,blues
1.0,-2.8200243,4.508687,-6.7717466,9.700336,-13.009497,16.585777,-20.09236,23.479603,-26.545763,29.029776,-30.893803,31.958138,-32.143356,31.641241,-30.370466,28.364208,-25.932686,23.09314,-19.972534,16.835331,-13.754587,10.841117,-8.237999,6.010428,-4.1567917,2.6859775,-1.62614,0.89384604,-0.36446816,0.06898479,blues
1.0,-3.4117289,6.6693325,-10.587132,14.988542,-19.712238,24.664244,-29.546875,34.135677,-38.10423,41.155006,-43.258198,44.312164,-44.261295,43.18336,-41.10211,38.130844,-34.484676,30.468622,-26.314257,22.147148,-18.068958,14.237682,-10.820655,7.896117,-5.502657,3.6098638,-2.1572883,1.1347584,-0.42887062,0.069542214,blues
1.0,-3.0617487,6.2327294,-10.888714,16.814976,-23.758457,31.413788,-39.47391,47.542324,-54.80835,61.03733,-65.83051,68.77845,-69.87174,69.12446,-66.51229,62.24683,-56.70893,50.236507,-43.127213,35.864174,-28.772806,22.189344,-16.32311,11.382938,-7.4757385,4.519823,-2.4527457,1.1801134,-0.44111323,0.100007825,blues
1.0,-3.1179466,6.19578,-10.553352,15.916302,-22.069666,28.74205,-35.640194,42.436855,-48.42015,53.519962,-57.3989,59.681652,-60.482964,59.766445,-57.474373,53.901848,-49.291775,43.83926,-37.92188,31.82542,-25.813091,20.195786,-15.133921,10.8572645,-7.353474,4.6132812,-2.6447375,1.3018463,-0.51672107,0.1350688,blues
1.0,-3.3314204,6.810411,-11.49914,17.170322,-23.560518,30.387306,-37.27117,43.875385,-49.651447,54.260277,-57.53225,59.349586,-59.70551,58.650402,-56.213703,52.54995,-47.895775,42.51751,-36.692783,30.751806,-24.872349,19.320591,-14.415821,10.194944,-6.790932,4.225596,-2.321235,1.0716724,-0.34845883,0.042470597,blues
1.0,-3.4950552,7.131384,-11.672248,16.850935,-22.453657,28.505974,-34.679436,40.59937,-45.898937,50.219284,-53.4413,55.46156,-56.19292,55.645477,-53.761345,50.68868,-46.64572,41.886047,-36.748436,31.497223,-26.241493,21.140463,-16.385773,12.213139,-8.746424,5.9506702,-3.7339501,2.045864,-0.81444854,0.15491411,blues
1.0,-3.2008524,6.396128,-10.808877,16.23057,-22.428339,29.20873,-36.125916,42.800198,-48.746864,53.642815,-57.260803,59.336864,-59.8573,58.87988,-56.416187,52.69574,-47.93196,42.402874,-36.431114,30.316336,-24.367788,18.861494,-13.996785,9.866981,-6.5330553,4.0267034,-2.2342608,1.0700564,-0.38829297,0.07078946,blues
1.0,-3.437294,6.7913823,-10.932122,15.630593,-20.603365,25.863428,-31.110004,36.002766,-40.32793,43.739716,-46.10913,47.427834,-47.665268,46.854507,-44.976032,42.1734,-38.66102,34.599804,-30.22407,25.817368,-21.45617,17.223398,-13.356675,9.995763,-7.1559973,4.8672557,-3.0602798,1.6856573,-0.7066895,0.14694381,blues
1.0,-3.3020422,6.7122245,-11.435034,17.231129,-23.794773,30.943426,-38.210014,45.216988,-51.49989,56.71234,-60.628025,62.972504,-63.65238,62.75773,-60.260044,56.37161,-51.397602,45.617783,-39.34779,32.931744,-26.649624,20.75266,-15.476093,10.982129,-7.3337393,4.5147543,-2.4801664,1.1810365,-0.41888493,0.06994811,blues
1.0,-3.472083,7.0918736,-11.773542,17.335148,-23.498009,29.929815,-36.241257,42.18274,-47.298695,51.32812,-54.194725,55.689117,-55.771744,54.556633,-52.123566,48.647167,-44.296,39.284496,-33.86071,28.32799,-22.904612,17.823395,-13.280783,9.351109,-6.166854,3.78294,-2.0738869,0.96405387,-0.31137592,0.041147992,blues
1.0,-3.3634222,6.892614,-11.624133,17.22833,-23.458168,30.08763,-36.71323,42.998943,-48.540848,53.013218,-56.200146,58.004883,-58.35347,57.33729,-55.05195,51.566963,-47.061604,41.78949,-36.064137,30.207048,-24.42023,19.033607,-14.212961,10.079793,-6.765807,4.1766934,-2.3061976,1.1032295,-0.38761365,0.07416397,blues
1.0,-3.3759682,6.494425,-10.291759,14.448953,-18.630005,22.713457,-26.40214,29.568121,-32.238373,34.280098,-35.482635,35.84591,-35.433693,34.360126,-32.700283,30.511713,-27.878258,24.986555,-21.962208,18.851696,-15.794619,12.860903,-10.104382,7.604468,-5.4260893,3.6081269,-2.1637082,1.1251323,-0.46157163,0.11006264,blues
1.0,-3.2363143,6.0576386,-9.494884,13.298989,-17.093685,20.663986,-23.69136,26.131926,-28.083628,29.38049,-29.950045,30.024263,-29.620754,28.768137,-27.558077,25.938225,-23.973988,21.778133,-19.359251,16.810322,-14.23982,11.76705,-9.512104,7.442113,-5.4779177,3.7161956,-2.2521124,1.147009,-0.45237923,0.10998404,blues
1.0,-2.8290012,5.6887484,-9.958859,15.251547,-21.542843,28.421045,-35.51195,42.4874,-48.63045,53.811737,-57.722176,60.034443,-60.837963,60.142296,-57.84427,54.30253,-49.738754,44.34546,-38.497242,32.428856,-26.426905,20.836601,-15.687603,11.301565,-7.6878467,4.8267183,-2.7946742,1.3962268,-0.57704574,0.17183135,blues
1.0,-2.9867163,6.0430484,-10.630384,16.287127,-22.848976,29.866095,-36.878006,43.526604,-49.25397,53.919773,-57.289555,59.182716,-59.646687,58.738995,-56.429398,52.948353,-48.54044,43.301155,-37.628605,31.731985,-25.87814,20.400005,-15.395229,11.08502,-7.494463,4.6600366,-2.6234822,1.2919241,-0.5051314,0.12437926,blues
1.0,-2.70875,5.565192,-9.4145775,13.966766,-19.137371,24.474916,-30.101013,35.500004,-40.576073,44.801277,-48.12529,50.14515,-51.003323,50.68186,-48.992176,46.356575,-42.68701,38.390995,-33.62216,28.619503,-23.585453,18.748947,-14.367268,10.468975,-7.3346896,4.784545,-2.8642766,1.5409017,-0.6219843,0.21539064,blues
1.0,-3.398923,6.591154,-10.522184,15.004413,-19.685915,24.190834,-28.10889,31.339476,-33.87715,35.580555,-36.337334,36.214928,-35.250904,33.60362,-31.514107,29.03177,-26.191317,23.121159,-19.923134,16.755962,-13.747744,10.9704,-8.474665,6.2377295,-4.3035083,2.7683487,-1.616935,0.80535114,-0.30776626,0.07305125,blues
1.0,-3.4234679,6.8734016,-11.453951,17.016905,-23.098824,29.20476,-34.865498,39.781548,-43.80902,46.722897,-48.372738,48.86452,-48.227245,46.60832,-44.25199,41.22561,-37.621838,33.610374,-29.318241,24.88832,-20.43996,16.183617,-12.3386545,8.945543,-6.087036,3.8663259,-2.2213416,1.1067147,-0.4407854,0.10886399,blues
1.0,-2.5688784,4.600011,-7.2986774,9.986254,-12.470716,14.426562,-15.589097,15.990115,-15.376315,13.964706,-12.078206,9.768862,-7.338396,5.0768757,-2.9552953,1.2065415,0.08943899,-0.992172,1.5573776,-1.7768435,1.8280091,-1.6351923,1.3652358,-1.0562642,0.71888065,-0.454898,0.2389651,-0.10978091,0.03079214,0.019668033,blues
1.0,-2.9947844,5.386973,-8.188312,11.152497,-14.153833,16.985176,-19.416195,21.493858,-23.266989,24.539572,-25.246529,25.578705,-25.398254,24.778719,-23.792822,22.362783,-20.597008,18.657566,-16.559557,14.363157,-12.130127,9.941964,-7.9273806,6.0483413,-4.398221,3.0195522,-1.8837883,0.99816704,-0.36885515,0.08360184,blues
1.0,-3.19425,6.021001,-9.560266,13.551276,-17.629143,21.478027,-24.760324,27.427795,-29.552408,31.021967,-31.793755,32.01202,-31.624573,30.713737,-29.42451,27.755302,-25.784784,23.611467,-21.197437,18.60954,-15.932925,13.234137,-10.597609,8.060494,-5.7711253,3.875885,-2.34368,1.2003243,-0.4817449,0.119058155,blues
1.0,-3.6027465,7.873576,-14.1122875,22.22466,-31.9079,42.72796,-54.02957,65.19062,-75.43972,83.98416,-90.36929,94.326,-95.640205,94.35062,-90.609955,84.709236,-77.19524,68.56718,-59.206993,49.581158,-40.119503,31.210587,-23.200418,16.360306,-10.824654,6.594783,-3.6176882,1.7190826,-0.63767284,0.14661178,blues
1.0,-3.8188257,8.290075,-14.180089,20.943256,-27.933762,34.424984,-39.765717,43.52377,-45.279507,44.801758,-42.168434,37.741203,-32.016018,25.595755,-18.966194,12.608444,-6.9684834,2.2673697,1.3224502,-3.7636178,5.0813847,-5.419258,5.15456,-4.500923,3.5497642,-2.5651298,1.6686841,-0.9330825,0.42334497,-0.10195364,blues
1.0,-4.0185156,8.486757,-13.488972,18.798449,-24.062235,28.688948,-32.40986,34.936043,-36.11967,35.990005,-34.586105,32.09159,-28.802797,24.948286,-20.791006,16.667713,-12.72308,9.072499,-5.8889,3.306769,-1.3300396,-0.054243743,0.8421348,-1.1480241,1.1481845,-0.9467044,0.61690587,-0.28793153,0.06998729,0.0033479577,blues
1.0,-4.2093782,9.274962,-15.22789,21.793476,-28.726986,35.311592,-40.929653,45.152443,-47.77369,48.68798,-47.857273,45.514248,-42.057858,37.779488,-32.87243,27.634827,-22.34316,17.304617,-12.797258,8.973524,-5.918941,3.6907244,-2.2208464,1.2982705,-0.7468456,0.45461804,-0.31011087,0.19455905,-0.099867776,0.037070528,blues
1.0,-3.5830724,7.741196,-13.803272,21.796675,-31.39372,42.06611,-53.21446,64.28772,-74.445915,82.97756,-89.50323,93.61903,-94.99515,93.658936,-89.75347,83.61986,-75.7717,66.74208,-57.00202,47.10959,-37.590523,28.81908,-21.087069,14.631327,-9.523008,5.7193413,-3.0868058,1.4427015,-0.5568153,0.13653849,blues
1.0,-4.152862,9.348703,-15.949402,23.744722,-32.378773,41.143013,-49.500137,56.930676,-62.995766,67.320595,-69.65931,69.92913,-68.250305,64.85675,-60.01706,54.143547,-47.641888,40.879387,-34.152184,27.769379,-21.91336,16.722946,-12.30765,8.654516,-5.755505,3.5770454,-2.0280168,1.0030081,-0.40400845,0.104810886,blues
1.0,-3.4887614,7.5917587,-13.551921,21.267159,-30.418201,40.3917,-50.78072,61.073578,-70.58295,78.68285,-85.074875,89.39616,-91.361465,90.95194,-88.200676,83.3631,-76.76634,68.84509,-60.00609,50.729397,-41.464672,32.65004,-24.574348,17.570862,-11.804702,7.2932634,-4.0530443,1.947745,-0.76860774,0.18902525,blues
1.0,-3.9143202,8.465293,-14.249255,21.263317,-29.153198,37.307182,-45.385895,53.05818,-60.001537,65.736374,-69.88632,72.34775,-73.06932,71.95436,-69.10477,64.80583,-59.3066,52.887268,-45.867455,38.66694,-31.591747,24.909922,-18.852314,13.590626,-9.25033,5.8373785,-3.3214142,1.6482978,-0.6546013,0.1520569,blues
1.0,-3.7706182,8.265983,-14.5725,22.71009,-32.16797,42.29494,-52.654896,62.767956,-71.926674,79.61548,-85.59851,89.59994,-91.35033,90.827484,-88.097565,83.3471,-76.96667,69.342545,-60.79059,51.745975,-42.630775,33.790333,-25.608913,18.46571,-12.546701,7.8625736,-4.422178,2.166787,-0.8563687,0.20760994,blues
1.0,-3.878493,8.421142,-14.245945,21.25453,-29.057318,37.162193,-45.19191,52.639137,-59.10517,64.195,-67.639694,69.35426,-69.35271,67.68981,-64.493,59.983738,-54.455807,48.241768,-41.588436,34.802567,-28.17811,22.015205,-16.514446,11.784475,-7.937499,4.9701467,-2.8186672,1.3856641,-0.5333233,0.12277611,blues
1.0,-3.3079185,6.3382845,-10.391569,15.48044,-20.915977,26.483166,-32.21412,37.619144,-42.337334,46.303017,-49.2229,50.767216,-50.980534,49.94005,-47.648315,44.383316,-40.37643,35.70938,-30.680847,25.597967,-20.653355,16.068808,-12.000836,8.575087,-5.812392,3.6669552,-2.093852,1.0422355,-0.4373883,0.12066073,blues
1.0,-3.3505688,6.468792,-10.556527,15.5514555,-20.758055,25.889175,-31.003412,35.70204,-39.64656,42.77707,-44.941505,45.947243,-45.753223,44.359364,-41.87548,38.67046,-34.90994,30.673412,-26.27341,21.873068,-17.56386,13.617569,-10.16201,7.2263556,-4.8925023,3.13066,-1.8464667,0.99979985,-0.47729105,0.14377879,blues
1.0,-3.8551471,8.014939,-13.200569,19.63007,-26.831215,34.185825,-41.41179,47.876835,-53.04457,56.725544,-58.64499,58.59649,-56.731934,53.333725,-48.674286,43.0822,-36.922314,30.583393,-24.437815,18.801905,-13.86166,9.695879,-6.4054065,4.0411506,-2.3154578,1.0709487,-0.37982357,0.055563122,0.07912964,-0.04651949,blues
1.0,-3.3370695,6.820352,-11.538879,17.411463,-24.121092,31.26154,-38.559574,45.674366,-52.039448,57.34575,-61.47941,63.997547,-64.70304,63.76987,-61.23798,57.29339,-52.319214,46.590317,-40.304543,33.780746,-27.40689,21.505995,-16.154469,11.565879,-7.861209,4.9512854,-2.843382,1.4382606,-0.572784,0.14159003,blues
1.0,-3.3727992,6.732198,-11.293607,17.123938,-23.968596,31.433493,-39.294098,47.102974,-54.060093,59.983414,-64.689415,67.73641,-68.860214,68.22138,-65.97177,62.08668,-56.995686,51.032455,-44.380043,37.4224,-30.636612,24.300474,-18.47049,13.435644,-9.316164,6.017978,-3.5851793,1.9271455,-0.83337283,0.20848753,blues
